period,group,sex,metric,value_pct
Jul-Sep 2017,Non-disabled,People,Economically active,84.2756130357473
Jul-Sep 2017,Non-disabled,People,Economically inactive,15.7243869642527
Oct-Dec 2017,Disabled,People,In Employment,50.5350435411176
Oct-Dec 2017,Disabled,People,Unemployed,9.14120215558399
Oct-Dec 2017,Disabled,People,Economically active,55.6193178206609
Oct-Dec 2017,Disabled,People,Economically inactive,44.3806821793391
Oct-Dec 2017,Non-disabled,People,In Employment,81.1155825201355
Oct-Dec 2017,Non-disabled,People,Unemployed,3.59734336943959
Oct-Dec 2017,Non-disabled,People,Economically active,84.1424763126509
Oct-Dec 2017,Non-disabled,People,Economically inactive,15.8575236873491
Jan-Mar 2018,Disabled,People,In Employment,50.7195883973899
Jan-Mar 2018,Disabled,People,Unemployed,9.13324463722685
Jan-Mar 2018,Disabled,People,Economically active,55.817540964128
Jan-Mar 2018,Disabled,People,Economically inactive,44.182459035872
Jan-Mar 2018,Non-disabled,People,In Employment,81.0529301642911
Jan-Mar 2018,Non-disabled,People,Unemployed,3.5656000559262
Jan-Mar 2018,Non-disabled,People,Economically active,84.0498102454072
Jan-Mar 2018,Non-disabled,People,Economically inactive,15.9501897545928
Apr-Jun 2018,Disabled,People,In Employment,50.6624760158425
Apr-Jun 2018,Disabled,People,Unemployed,8.82011052006157
Apr-Jun 2018,Disabled,People,Economically active,55.5632127926513
Apr-Jun 2018,Disabled,People,Economically inactive,44.4367872073487
Apr-Jun 2018,Non-disabled,People,In Employment,81.134404387836
Apr-Jun 2018,Non-disabled,People,Unemployed,3.34489707599352
Apr-Jun 2018,Non-disabled,People,Economically active,83.9421840475682
Apr-Jun 2018,Non-disabled,People,Economically inactive,16.0578159524318
Jul-Sep 2018,Disabled,People,In Employment,51.2478788992151
Jul-Sep 2018,Disabled,People,Unemployed,9.21110180969939
Jul-Sep 2018,Disabled,People,Economically active,56.447296884026
Jul-Sep 2018,Disabled,People,Economically inactive,43.552703115974
Jul-Sep 2018,Non-disabled,People,In Employment,81.421614145774
Jul-Sep 2018,Non-disabled,People,Unemployed,3.64064439767176
Jul-Sep 2018,Non-disabled,People,Economically active,84.4978815360682
Jul-Sep 2018,Non-disabled,People,Economically inactive,15.5021184639319
Oct-Dec 2018,Disabled,People,In Employment,51.5456710849939
Oct-Dec 2018,Disabled,People,Unemployed,8.48464059385596
Oct-Dec 2018,Disabled,People,Economically active,56.324611977138
Oct-Dec 2018,Disabled,People,Economically inactive,43.675388022862
Oct-Dec 2018,Non-disabled,People,In Employment,81.7324018449351
Oct-Dec 2018,Non-disabled,People,Unemployed,3.33447336172577
Oct-Dec 2018,Non-disabled,People,Economically active,84.5517576817024
Oct-Dec 2018,Non-disabled,People,Economically inactive,15.4482423182976
Jan-Mar 2019,Disabled,People,In Employment,51.7902847415331
Jan-Mar 2019,Disabled,People,Unemployed,7.96582860540606
Jan-Mar 2019,Disabled,People,Economically active,56.2728864255036
Jan-Mar 2019,Disabled,People,Economically inactive,43.7271135744964
Jan-Mar 2019,Non-disabled,People,In Employment,81.5869562546166
Jan-Mar 2019,Non-disabled,People,Unemployed,3.28339132923272
Jan-Mar 2019,Non-disabled,People,Economically active,84.3567173993316
Jan-Mar 2019,Non-disabled,People,Economically inactive,15.6432826006684
Apr-Jun 2019,Disabled,People,In Employment,52.6444331697644
Apr-Jun 2019,Disabled,People,Unemployed,7.26460487038992
Apr-Jun 2019,Disabled,People,Economically active,56.7684357156044
Apr-Jun 2019,Disabled,People,Economically inactive,43.2315642843956
Apr-Jun 2019,Non-disabled,People,In Employment,81.4437229459823
Apr-Jun 2019,Non-disabled,People,Unemployed,3.38589564164605
Apr-Jun 2019,Non-disabled,People,Economically active,84.2979640362831
Apr-Jun 2019,Non-disabled,People,Economically inactive,15.7020359637169
Jul-Sep 2019,Disabled,People,In Employment,53.2664849082555
Jul-Sep 2019,Disabled,People,Unemployed,6.6590674929393
Jul-Sep 2019,Disabled,People,Economically active,57.0665874847846
Jul-Sep 2019,Disabled,People,Economically inactive,42.9334125152154
Jul-Sep 2019,Non-disabled,People,In Employment,81.7203557134371
Jul-Sep 2019,Non-disabled,People,Unemployed,3.73249229552321
Jul-Sep 2019,Non-disabled,People,Economically active,84.8888245495077
Jul-Sep 2019,Non-disabled,People,Economically inactive,15.1111754504923
Oct-Dec 2019,Disabled,People,In Employment,54.2125994301314
Oct-Dec 2019,Disabled,People,Unemployed,6.90907666458806
Oct-Dec 2019,Disabled,People,Economically active,58.2361818829536
Oct-Dec 2019,Disabled,People,Economically inactive,41.7638181170464
Oct-Dec 2019,Non-disabled,People,In Employment,82.1146527663126
Oct-Dec 2019,Non-disabled,People,Unemployed,3.23284073949709
Oct-Dec 2019,Non-disabled,People,Economically active,84.8579759846573
Oct-Dec 2019,Non-disabled,People,Economically inactive,15.1420240153427
Jan-Mar 2020,Disabled,People,In Employment,52.718335866286
Jan-Mar 2020,Disabled,People,Unemployed,7.27619089349638
Jan-Mar 2020,Disabled,People,Economically active,56.8552310073167
Jan-Mar 2020,Disabled,People,Economically inactive,43.1447689926833
Jan-Mar 2020,Non-disabled,People,In Employment,82.0521297369644
Jan-Mar 2020,Non-disabled,People,Unemployed,3.62518098418391
Jan-Mar 2020,Non-disabled,People,Economically active,85.1385564973137
Jan-Mar 2020,Non-disabled,People,Economically inactive,14.8614435026863
Apr-Jun 2020,Disabled,People,In Employment,51.6713019803615
Apr-Jun 2020,Disabled,People,Unemployed,6.9184195474576
Apr-Jun 2020,Disabled,People,Economically active,55.5118442651563
Apr-Jun 2020,Disabled,People,Economically inactive,44.4881557348437
Apr-Jun 2020,Non-disabled,People,In Employment,81.2988313815059
Apr-Jun 2020,Non-disabled,People,Unemployed,3.63434394710258
Apr-Jun 2020,Non-disabled,People,Economically active,84.3649436028112
Apr-Jun 2020,Non-disabled,People,Economically inactive,15.6350563971888
Jul-Sep 2020,Disabled,People,In Employment,51.0754042517993
Jul-Sep 2020,Disabled,People,Unemployed,8.02054039025387
Jul-Sep 2020,Disabled,People,Economically active,55.5291414719155
Jul-Sep 2020,Disabled,People,Economically inactive,44.4708585280845
Jul-Sep 2020,Non-disabled,People,In Employment,80.9812645473473
Jul-Sep 2020,Non-disabled,People,Unemployed,4.70226482364143
Jul-Sep 2020,Non-disabled,People,Economically active,84.9771134618078
Jul-Sep 2020,Non-disabled,People,Economically inactive,15.0228865381922
Oct-Dec 2020,Disabled,People,In Employment,51.6036833374431
Oct-Dec 2020,Disabled,People,Unemployed,8.51225101536603
Oct-Dec 2020,Disabled,People,Economically active,56.4050202460554
Oct-Dec 2020,Disabled,People,Economically inactive,43.5949797539447
Oct-Dec 2020,Non-disabled,People,In Employment,80.7333112534366
Oct-Dec 2020,Non-disabled,People,Unemployed,4.78598067747432
Oct-Dec 2020,Non-disabled,People,Economically active,84.7914118402696
Oct-Dec 2020,Non-disabled,People,Economically inactive,15.2085881597304
Jan-Mar 2021,Disabled,People,In Employment,51.8152354913735
Jan-Mar 2021,Disabled,People,Unemployed,8.25587140029691
Jan-Mar 2021,Disabled,People,Economically active,56.4779853296696
Jan-Mar 2021,Disabled,People,Economically inactive,43.5220146703304
Jan-Mar 2021,Non-disabled,People,In Employment,80.7464567961752
Jan-Mar 2021,Non-disabled,People,Unemployed,4.34447207912849
Jan-Mar 2021,Non-disabled,People,Economically active,84.4137903488135
Jan-Mar 2021,Non-disabled,People,Economically inactive,15.5862096511865
Apr-Jun 2021,Disabled,People,In Employment,52.0040930259597
Apr-Jun 2021,Disabled,People,Unemployed,8.3937079342056
Apr-Jun 2021,Disabled,People,Economically active,56.7691278112303
Apr-Jun 2021,Disabled,People,Economically inactive,43.2308721887697
Apr-Jun 2021,Non-disabled,People,In Employment,80.907105940005
Apr-Jun 2021,Non-disabled,People,Unemployed,3.95646486003101
Apr-Jun 2021,Non-disabled,People,Economically active,84.2400332537688
Apr-Jun 2021,Non-disabled,People,Economically inactive,15.7599667462312
Jul-Sep 2021,Disabled,People,In Employment,53.0722477222383
Jul-Sep 2021,Disabled,People,Unemployed,7.62662023647186
Jul-Sep 2021,Disabled,People,Economically active,57.4540499201187
Jul-Sep 2021,Disabled,People,Economically inactive,42.5459500798813
Jul-Sep 2021,Non-disabled,People,In Employment,81.4647501529936
Jul-Sep 2021,Non-disabled,People,Unemployed,4.04181660520202
Jul-Sep 2021,Non-disabled,People,Economically active,84.8960946017762
Jul-Sep 2021,Non-disabled,People,Economically inactive,15.1039053982238
Oct-Dec 2021,Disabled,People,In Employment,52.6302811983481
Oct-Dec 2021,Disabled,People,Unemployed,7.4787099727123
Oct-Dec 2021,Disabled,People,Economically active,56.8845086172335
Oct-Dec 2021,Disabled,People,Economically inactive,43.1154913827665
Oct-Dec 2021,Non-disabled,People,In Employment,81.7705970579326
Oct-Dec 2021,Non-disabled,People,Unemployed,3.58889971384583
Oct-Dec 2021,Non-disabled,People,Economically active,84.8145045697356
Oct-Dec 2021,Non-disabled,People,Economically inactive,15.1854954302644
Jan-Mar 2022,Disabled,People,In Employment,53.0088500909421
Jan-Mar 2022,Disabled,People,Unemployed,6.78747119995018
Jan-Mar 2022,Disabled,People,Economically active,56.8688037684842
Jan-Mar 2022,Disabled,People,Economically inactive,43.1311962315158
Jan-Mar 2022,Non-disabled,People,In Employment,81.6804618636522
Jan-Mar 2022,Non-disabled,People,Unemployed,3.22411843241826
Jan-Mar 2022,Non-disabled,People,Economically active,84.4016717188074
Jan-Mar 2022,Non-disabled,People,Economically inactive,15.5983282811926
Apr-Jun 2022,Disabled,People,In Employment,52.380542183613
